id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,Echo Syndicate,electronic,energetic,0.88,128,0.75,0.85,0.12
12,Forest Whisper,Woodland Echo,folk,calm,0.45,85,0.68,0.55,0.95
13,Thunder Clap,Rock Titans,rock,intense,0.95,145,0.52,0.70,0.08
14,Ocean Breeze,Sea Shanty,reggae,relaxed,0.55,100,0.78,0.75,0.40
15,Urban Nights,City Beats,hip hop,moody,0.80,95,0.60,0.80,0.25
16,Mountain High,Alpine Sound,folk,adventurous,0.70,110,0.85,0.65,0.30
17,Desert Wind,Sahara Groove,world,exotic,0.65,120,0.72,0.78,0.50
18,Starlight Serenade,Celestial Choir,classical,romantic,0.30,70,0.80,0.45,0.98
19,Neon Pulse,Future Wave,electronic,excited,0.90,135,0.88,0.90,0.15
20,Autumn Leaves,Fall Harmony,jazz,melancholic,0.50,75,0.55,0.60,0.85
